id,title,source,price,url,product_id,condition,category,shipping_cost,scraped_at,search_keyword
1,"Sleek 15.6"" Laptop with Fingerprint Biometric Security, N5095 Processor, 16GB RA",ebay,269.99,https://www.ebay.com/itm/116454994369?_skw=laptop&itmmeta=01JY9V70WEYXVZ3V6H6E5X355H&hash=item1b1d4231c1:g:C3UAAOSw5~hnkjCT&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1evVVggD4yzDF%2BTm0Do2g7BgFZZT85fyo81Pndt1VwZjOw4%2Ba3Vk9FK1Iytg3R6pGiDLdRQN1nxniOF0Z%2BfDY%2FYkZTNSEiL8DYGZ4DKt8cH9IZIH%2F40AqX3sskFDtPb2Tk2Ml8eGA81ZVvirRxTplOeu0zTmEMoBkz8Tn8WBhp1Q4tS%2BHC1U0T%2FZYaLcK1ylYstvJWVgorJ382jsjfaXvuLUqYTn6zGlz6Cp8wGZOHoAA%3D%3D%7Ctkp%3ABlBMUNyOnLvyZQ,116454994369,Brand New Unbranded,,109.31,2025-06-21T19:18:33.309134,laptop
2,"Jumper Laptop, 16 Inch FHD IPS 1200p Screen, 5305U Processor, 4GB RAM 128GB SSD",ebay,239.99,https://www.ebay.com/itm/286184220914?_skw=laptop&itmmeta=01JY9V78KRJ16472SF6FPH1283&hash=item42a1e8a8f2:g:aEYAAOSw6CFnRkjT&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eCMft4hm45mFol40IneudY%2BgfrhfUUx2k7%2Bhfr5MafKAOde3jFafV7HE6%2BWztq2meqHGWgac3r60dB3Oefg%2BI8ZD0K%2BjI5wDOZ96yTEeO9LmqAsdbAuzjE4Yul2aJrQWsYKRpl6UvfL18b9jWvE5pDOKGthbNzj%2Bv3YnJ0pdsgbELYDmJl4oBXIZMS1P79MHo1sWW%2FjOtyUSeUzlMBghFvuesNeQFdHsI7I3q%2B46Y9ew%3D%3D%7Ctkp%3ABlBMUK6KnbvyZQ,286184220914,Brand New Jumper 128 GB,,173.07,2025-06-21T19:18:33.310143,laptop
3,Dell Latitude Laptop 14 Screen Intel Core i5 8GB Ram 500GB HDMI WiFi Windows 10,ebay,141.23,https://www.ebay.com/itm/264408661901?_skw=laptop&epid=25028383909&itmmeta=01JY9VKAYV21H8F55Q4ZTN2JJ5&hash=item3d8ffbff8d:g:TMEAAOSw6ZBoVR6q&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f8Fch0JLIeTdBbGhNpDRaTtubowPpbVpdeU8sG6VizFv2bjjl66U4GwAGCJ6re18ztdKF04Hp8M%2B09TaoRRnZxkyMusDPYLeRP%2BhosmWUxGZnJoIR6g7OdBJxyex48etltJzHxZfwp734iNFbc5%2BwzZVcwhRhWWObM8m%2FhGrrykE5fY5KWEsL7NG8TygSXTpKRIup%2F0TRzJitv2P5Dr80%2FzV0cVLi8pF8WFB1FXu31R%2BcyUWZ9vsAmc7ISJSpyyxfDegQW%2FV8h2e5TH4vhoY6S%7Ctkp%3ABk9SR_CvzbvyZQ,264408661901,Very Good - Refurbished Dell 500 GB,,155.24,2025-06-21T19:18:37.235749,laptop
4,"Dell Laptop Latitude E6440 14"" Computer i5 16GB 500GB WIFI Bluetooth Windows 10",ebay,154.72,https://www.ebay.com/itm/264711254802?_skw=laptop&itmmeta=01JY9V7D2MNZ1M30MZBYJ28HFA&hash=item3da2053312:g:LMUAAOSwQi9j0bHl&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fu8mtD7eXQINTua1M26yM%2BxqfYG3DjovPglQXs8KfAEZ2GzyrIH2XeaNqAiGtCe%2B%2F3CWUxEYHDX8Ic0McS7Rze5LLUtuAwYUK2eCacsAnpNt79Ufh31A2tLQ0KdDF%2BFFPh5ArkdHoD6pM4%2FrZ9hbo8NVMpDGXiBSQbsOtoSXlMnlpUS5tVHKZ1c2QIy98kb2obiJDM0gtEOE%2FBaEyVp7R4F8d%2B9hk7diNJ2h7Q5kCdXg%3D%3D%7Ctkp%3ABlBMUN7RnbvyZQ,264711254802,Good - Refurbished Dell 500 GB,,186.67,2025-06-21T19:18:33.310143,laptop
5,"Dell Latitude 5510 Intel i5 10310U 1.70GHz 16GB RAM 256GB SSD 15.6"" FHD Win 11 -",ebay,196.79,https://www.ebay.com/itm/185994892236?_skw=laptop&itmmeta=01JY9VK0E08SG1R4ZZ3P87P4NY&hash=item2b4e28d3cc:g:7g0AAeSwNqRoTnMR&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dkOihJ40RPED6xWV3z%2BdQct%2FAXJ0o5V2UkmC5T7ZYT2D8SORIgS1GPXn7bCmO1xNR5IXrxBE1N85L%2FtCQ1O9m1HqYZCa%2FFx44gH40fwwwAgvrplRVAk4AXeZcZ36JDOqWCueUAN8MDaMdBfqaoNMShmJyLOaS4uSISK5aMWfCWeKMELpSGFyjI0m%2BSjLm4ldl%2F8ooIq9ka8nRtDCQEqK8wwLXIh6MJbJliyuMina6Ow3yFo4ULTimSLUqtRsO96nU%2F5r2Vwbta47wExqls5Y7G%7Ctkp%3ABFBMxIfMu_Jl,185994892236,Pre-Owned Dell,,31.61,2025-06-21T19:18:37.234748,laptop
6,"2024 ASUS Vivobook 16"" Laptop 10-Core Intel i7-1355U 24GB RAM 1TB SSD Win 11 Pro",ebay,659.0,https://www.ebay.com/itm/126682179899?_skw=laptop&itmmeta=01JY9V70WCAKTBPFX77P6EG17R&hash=item1d7ed8a93b:g:sooAAOSwzDxm7I88&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dc%2BtEsnSj6gHfg5hEMPdR9HB%2B7rNR%2BISie2mfit%2BtJ5DdoyOqaQ3XIe%2F7IXaGlghc1m%2Few6uis4gczkOyChJH%2BRt3W7KIJP5%2FNFDxhEYzOdvMxMTMFEBthL4tTqCHyN%2FoeZAbp0niWWa%2FcY83nvMp2suaNTgIDrEAKYeKDyT54k1vkTSSkfOd0IP3CEa3JS2qaC9ArM5H5uu06wvaIEihHdJzRDU3M1BLSX%2BlHWs0HqQ%3D%3D%7Ctkp%3ABk9SR9aOnLvyZQ,126682179899,Fast ShippingManufacturer WarrantyClearance On Sale,,242.53,2025-06-21T19:18:33.309134,laptop
7,"HP EliteBook 14"" Laptop PC Computer Core i5 8GB RAM 128GB SSD WiFi Windows 10",ebay,139.11,https://www.ebay.com/itm/254391083564?_skw=laptop&itmmeta=01JY9VK4NGR7BZWR87A9030YJQ&hash=item3b3ae3e22c:g:aBYAAOSwFsRoUle1&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eQRnFYnv3v607GLnwykYjUEiafKLolhS8u0JEXfpwhvCw4C%2BWZfgvaYOX15oZ25M6TltgaYzSW7mzpjoKlmNK5XUlmmLa5nqkwQ9bDZ%2Blvr7F0F%2Bd0csm0td6B5SoAw8aw%2BHhJAV8%2F1ai3Z39GO3W7Y8roq4pL2tALzQLHlh7XmvvTev8LjWVSsHUvM9BQtJMczVNTSj8BUl4Uqd%2B4BvzLsPmVqq8%2BALFuxJCPFzUqAHabZ1eeJXmzTPbPCA2u2h%2BoqZQrSXpLV70Sr1qkbgiO%7Ctkp%3ABk9SR4LLzLvyZQ,254391083564,Good - Refurbished HP,,154.97,2025-06-21T19:18:37.234748,laptop
8,"Microsoft Surface Laptop 3 Intel i7 1065G7 1.30GHz 16GB RAM 256GB SSD 13.5"" Win",ebay,281.31,https://www.ebay.com/itm/186853524903?_skw=laptop&itmmeta=01JY9VK0E0MXKVX63DM37ZZSVG&hash=item2b815685a7:g:TO4AAeSwbVtoShkt&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dsatl53F9VzlqkD2Q4G0Pg2b7uMGgEGakknUG9C5Rfo7WTIsGvp%2Bfi1AAboCusYv99Zp1v%2FBq0AGGVR5YndvvioUZ8bw3EP44%2BnHQzYNWqmxeD6ntRDYXxkyAemDruvcgwbDX2nIJLlQw2KwsMSyS1bj4EfFXHxbJSaHzBE%2FnrjFfYzNaOwSeN7A4XvmcdFkjPjbcHYloJHTJLBHXsxL8zd23uPfay5OuZ%2Fq3Y1jZXX%2FYinOexxmXw5k5tx%2FHNMMkNfciJ7tEDXsncocefwdN3%7Ctkp%3ABFBMxIfMu_Jl,186853524903,Pre-Owned Microsoft,,31.61,2025-06-21T19:18:37.234748,laptop
9,2024 Lenovo IdeaPad Laptop 15.6 FHD 10-Core Intel i5 16GB RAM 1TB SSD Win11 PRO,ebay,459.0,https://www.ebay.com/itm/126678883714?_skw=laptop&itmmeta=01JY9VK4NG1ZFD0Z8T1AYQ3JV1&hash=item1d7ea65d82:g:GfEAAOSwLedn4wfA&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dxYk5M809XksRt5imSkso%2FAooOZl%2Bw8IBJZ7sMaX9WAePW%2FQ7jpTlH%2Fo5HtRnshGCjBDP5hP934hq9Kv%2BZdz4YO76M0oMy%2FopxX7Ws0tsY--oNcZKl64tV9i1u0p3UfIFKB%2BB19ZqqW2W7AoBMmOj72vgjmiK8yKnrRm2Y7YaR2gdHPZuOHcFdfbvGOLk%2Bb6w1AmsMUPft9cFluyGRJ5zh1ATmYCFdxSR5w9j1%2BVMIe4nWXdPDbq6DmcIgzPJPzB21EkpaoPrJdZb94kanaTkK%7Ctkp%3ABk9SR4LLzLvyZQ,126678883714,High Performance Windows 11 Pro Clearance On Sale,,235.91,2025-06-21T19:18:37.234748,laptop
10,Dell Latitude Laptop 14 1920x1080 FHD Core i5 8GB RAM 256GB SSD Windows 10 Pro,ebay,213.27,https://www.ebay.com/itm/267057235366?_skw=laptop&itmmeta=01JY9V7GB05W2R4T0DNKAFQ9JQ&hash=item3e2dda05a6:g:LQUAAOSwLVJoCw3M&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fwgg9lMBYH088cT8mcXem9AgQ7N2fI%2Brm7ndBQG9X3HNyPg6wJ%2FQvzDJ%2BeIDf0rEUxdq9z5UzcizbbjoiDpTcjtNKlb2AEWReTlzdjiZ6wdcx6JDKYRgpOAfqzDsTjiOEVY0PfWOloGtGJXBQNLZOg%2FJyuUexKcDkOUWezjVOoLOVexgZGtClk8t8XDkrNi1a98jbN8w8nhgTNwwhhIHOM8Xv%2FBJtp9oWR2EeHay45RA%3D%3D%7Ctkp%3ABlBMUOqFnrvyZQ,267057235366,Very Good - Refurbished Dell,,164.61,2025-06-21T19:18:33.310143,laptop
11,"Dell Latitude Laptop PC Computer 11.6"" Intel Celeron Windows 10 4GB RAM 64GB SSD",ebay,89.48,https://www.ebay.com/itm/254646198216?_skw=laptop&itmmeta=01JY9T7AJA8HCC0AQ1GWVBFJFN&hash=item3b4a189fc8:g:kSQAAOSwj6ZnUM0Q&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1evoOz%2BOwUA8Yv0bqTfD0seoPWb%2FXUfzOz3vaPDezw9moqKU5xDPLTlckkBjku2HbNxU8FrQk3j1sMOtmNKatT6uc68jBqjTnXhGQt%2B47U1s%2BrOq3UnIrMU%2FtQCCaaxxFVdy8KeXVnyd4%2BCCzfABIgcT3rqGJVyf0TYFXe0L6Mvs%2FwTDVyCLETjmvLm40nn%2BOUtICCZNNDplFTArgup45vu6ebhDnDYDQZlsFtjgiiJMQ%3D%3D%7Ctkp%3ABlBMUMypnbryZQ,254646198216,Good - Refurbished HP,,145.85,2025-06-21T19:18:29.895868,laptop
